workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block,model_version,effective_bandwidth_gbps,saved_reread_ms,local_replay_ms,local_store_residual_ms
layernorm_backward,normalization,2048,32768,4,32768,0.374109,0.3737122,0.3742118,0.0317731,0.20611800000000002,0.04990991775099003,7.146807333985622e-05,0.12436351417567014,True,0.175539,True,effective-bandwidth-overlap-v2,3907.016214013332,0.20611800000000002,0.04990991775099003,0.0
layernorm_backward,normalization,2048,32768,8,16384,0.311364,0.3103344,0.3113876,0.0518525,0.20611800000000002,0.05070213866767242,0.0003388116069445035,0.1032245497253831,True,0.23828400000000005,True,effective-bandwidth-overlap-v2,3907.016214013332,0.20611800000000002,0.05070213866767242,0.0
layernorm_backward,normalization,2048,65536,2,131072,1.28995,1.289916,1.2914700000000001,0.0644986,0.41966625,0.10140427733534484,1.2100414533732269e-05,0.2537512722501214,True,-0.17083999999999988,False,effective-bandwidth-overlap-v2,3837.8419422576867,0.41966625,0.10140427733534484,0.0
layernorm_backward,normalization,2048,65536,4,65536,0.838215,0.8381034,0.8384434,0.0589789,0.41966625,0.09981983550198006,7.146807333985622e-05,0.2607960464246801,True,0.280895,True,effective-bandwidth-overlap-v2,3837.8419422576867,0.41966625,0.09981983550198006,0.0
layernorm_backward,normalization,2048,65536,8,32768,0.744592,0.7441702,0.7454700000000001,0.0670973,0.41966625,0.10140427733534484,0.0003388116069445035,0.25082586105771065,True,0.374518,True,effective-bandwidth-overlap-v2,3837.8419422576867,0.41966625,0.10140427733534484,0.0
weighted_var_backward,normalization,4096,4096,2,24576,0.120008,0.11988520000000001,0.120176,0.0323075,0.06271260000000001,0.03743243831324253,2.9778363891606753e-05,-0.00705711667713413,False,-0.015487,False,effective-bandwidth-overlap-v2,6420.610595000047,0.06271260000000001,0.03743243831324253,0.0
weighted_var_backward,normalization,4096,4096,4,12288,0.176672,0.17660019999999998,0.176859,0.0709037,0.06271260000000001,0.03713535546948663,0.00017725216602146877,-0.045503707635508095,False,-0.07215099999999999,False,effective-bandwidth-overlap-v2,6420.610595000047,0.06271260000000001,0.03713535546948663,0.0
weighted_var_backward,normalization,4096,4096,8,6144,0.330887,0.33083840000000003,0.33095280000000005,0.148033,0.06271260000000001,0.038026604000754305,0.0008470290173612588,-0.12419403301811556,False,-0.22636599999999998,False,effective-bandwidth-overlap-v2,6420.610595000047,0.06271260000000001,0.038026604000754305,0.0
weighted_var_backward,normalization,4096,8192,2,49152,0.233786,0.233777,0.2338966,0.0559446,0.1538532,0.07486487662648506,2.9778363891606753e-05,0.023013945009623338,True,0.02263599999999999,True,effective-bandwidth-overlap-v2,5234.2516632738225,0.1538532,0.07486487662648506,0.0
weighted_var_backward,normalization,4096,8192,4,24576,0.238761,0.23872480000000001,0.238921,0.0708992,0.1538532,0.07427071093897326,0.00017725216602146877,0.008506036895005268,True,0.017660999999999982,True,effective-bandwidth-overlap-v2,5234.2516632738225,0.1538532,0.07427071093897326,0.0
weighted_var_backward,normalization,4096,8192,8,12288,0.372869,0.37263019999999997,0.37315,0.148007,0.1538532,0.07605320800150861,0.0008470290173612588,-0.07105403701886988,False,-0.11644700000000002,False,effective-bandwidth-overlap-v2,5234.2516632738225,0.1538532,0.07605320800150861,0.0
