workload,cols,cluster_size,trial,overhead_ms
rowwise_quant,4096,8,0,0.0601027
rowwise_quant,4096,8,1,0.060144
rowwise_quant,4096,8,2,0.0601178
rowwise_quant,4096,8,3,0.0600842
rowwise_quant,4096,8,4,0.0601482
rowwise_quant,8192,8,0,0.0601494
rowwise_quant,8192,8,1,0.0601914
rowwise_quant,8192,8,2,0.0600963
rowwise_quant,8192,8,3,0.0600851
rowwise_quant,8192,8,4,0.0601718
rowwise_quant,16384,8,0,0.060111
rowwise_quant,16384,8,1,0.0601232
rowwise_quant,16384,8,2,0.0602278
rowwise_quant,16384,8,3,0.0601725
rowwise_quant,16384,8,4,0.059993
rowwise_quant,32768,8,0,0.0601133
rowwise_quant,32768,8,1,0.0601472
rowwise_quant,32768,8,2,0.0600454
rowwise_quant,32768,8,3,0.0600854
rowwise_quant,32768,8,4,0.0600816
rowwise_quant,65536,8,0,0.0775146
rowwise_quant,65536,8,1,0.0776275
rowwise_quant,65536,8,2,0.0774099
rowwise_quant,65536,8,3,0.0775149
rowwise_quant,65536,8,4,0.0775942
