cols,rows,block_variant,block_ms,cluster_variant,cluster_ms,cluster_size,trial,workload
8192,4096,block_smem,0.188724,cluster_smem,0.185734,2,4,pearson_backward
16384,4096,block_smem,0.522596,cluster_smem,0.380851,2,4,pearson_backward
32768,4096,block_read,1.1323,cluster_smem,1.06134,2,4,pearson_backward
65536,4096,block_read,2.28698,n/a,nan,2,4,pearson_backward
4096,4096,block_smem,0.0947427,cluster_smem,0.13192,4,0,pearson_backward
8192,4096,block_smem,0.188772,cluster_smem,0.216311,4,0,pearson_backward
16384,4096,block_smem,0.519124,cluster_smem,0.369172,4,0,pearson_backward
32768,4096,block_read,1.13255,cluster_smem,0.771915,4,0,pearson_backward
65536,4096,block_read,2.28765,cluster_smem,2.28001,4,0,pearson_backward
4096,4096,block_smem,0.0946733,cluster_smem,0.131723,4,1,pearson_backward
8192,4096,block_smem,0.188752,cluster_smem,0.216263,4,1,pearson_backward
16384,4096,block_smem,0.522317,cluster_smem,0.371428,4,1,pearson_backward
32768,4096,block_read,1.13206,cluster_smem,0.771137,4,1,pearson_backward
65536,4096,block_read,2.28769,cluster_smem,2.27818,4,1,pearson_backward
4096,4096,block_smem,0.0947789,cluster_smem,0.132025,4,2,pearson_backward
8192,4096,block_smem,0.1887,cluster_smem,0.216219,4,2,pearson_backward
16384,4096,block_smem,0.518672,cluster_smem,0.369113,4,2,pearson_backward
32768,4096,block_read,1.13106,cluster_smem,0.771828,4,2,pearson_backward
65536,4096,block_read,2.28753,cluster_smem,2.27862,4,2,pearson_backward
4096,4096,block_smem,0.0948224,cluster_smem,0.131698,4,3,pearson_backward
8192,4096,block_smem,0.188794,cluster_smem,0.216527,4,3,pearson_backward
16384,4096,block_smem,0.519204,cluster_smem,0.369453,4,3,pearson_backward
32768,4096,block_read,1.13226,cluster_smem,0.771284,4,3,pearson_backward
65536,4096,block_read,2.28776,cluster_smem,2.27988,4,3,pearson_backward
4096,4096,block_smem,0.0947053,cluster_smem,0.132026,4,4,pearson_backward
8192,4096,block_smem,0.188604,cluster_smem,0.216194,4,4,pearson_backward
16384,4096,block_smem,0.522343,cluster_smem,0.371534,4,4,pearson_backward
32768,4096,block_read,1.13234,cluster_smem,0.771107,4,4,pearson_backward
65536,4096,block_read,2.28769,cluster_smem,2.27934,4,4,pearson_backward
4096,4096,block_smem,0.0946534,cluster_smem,0.240338,8,0,pearson_backward
8192,4096,block_smem,0.188659,cluster_smem,0.264933,8,0,pearson_backward
16384,4096,block_smem,0.522459,cluster_smem,0.438756,8,0,pearson_backward
32768,4096,block_read,1.13202,cluster_smem,0.744963,8,0,pearson_backward
65536,4096,block_read,2.2777,cluster_smem,1.56497,8,0,pearson_backward
4096,4096,block_smem,0.0946128,cluster_smem,0.240191,8,1,pearson_backward
8192,4096,block_smem,0.188717,cluster_smem,0.265092,8,1,pearson_backward
16384,4096,block_smem,0.518912,cluster_smem,0.434943,8,1,pearson_backward
32768,4096,block_read,1.13238,cluster_smem,0.744792,8,1,pearson_backward
65536,4096,block_read,2.27615,cluster_smem,1.56379,8,1,pearson_backward
4096,4096,block_smem,0.0947581,cluster_smem,0.239911,8,2,pearson_backward
8192,4096,block_smem,0.188722,cluster_smem,0.26512,8,2,pearson_backward
