workload,label,category,rows,cols,block_variant,cuda_nodsmem_ms,cuda_nodsmem_p20_ms,cuda_nodsmem_p80_ms,torch_compile_ms,torch_compile_p20_ms,torch_compile_p80_ms,triton_ms,triton_p20_ms,triton_p80_ms,triton_block_size,triton_num_warps,dsmem_ms,dsmem_p20_ms,dsmem_p80_ms,measured_cluster_size,best_baseline,best_baseline_ms,dsmem_vs_torch,dsmem_vs_triton,dsmem_vs_cuda_nodsmem,dsmem_vs_best,dsmem_vs_best_p20,dsmem_vs_best_p80,predicted_cluster_size,predicted_delta_ms,predicted_profitable,measured_profitable_vs_cuda,model_correct
pearson_backward,Pearson backward,pairwise statistics,4096,4096,block_smem,0.0946534,0.09463664,0.09471586,0.09351391792297363,0.09350016212463379,0.09357299423217774,0.17172927856445314,0.17172071075439452,0.1717393264770508,1024,8,0.106368,0.1063088,0.1063858,2,torch.compile,0.09351391792297363,0.8791546134455253,1.61448253764716,0.8898672533092659,0.8791546134455253,0.878878216121266,0.8801998915628597,2,-0.021747614190613954,False,False,True
pearson_backward,Pearson backward,pairwise statistics,4096,8192,block_smem,0.188717,0.1886814,0.1887212,0.18138080596923828,0.18133919906616208,0.18146956253051758,0.3608483123779297,0.3607918014526367,0.36090521240234374,1024,8,0.185863,0.1857314,0.1859206,2,torch.compile,0.18138080596923828,0.9758844200795117,1.9414747011397089,1.015355396178906,0.9758844200795117,0.9753582930894268,0.9770537589794595,2,-0.027149950017336305,False,True,False
pearson_backward,Pearson backward,pairwise statistics,4096,16384,block_smem,0.51898,0.518873,0.5225076,0.36036705017089843,0.3603421554565429,0.3604470291137695,0.7275331115722656,0.7274850616455077,0.7275689239501953,1024,8,0.369453,0.36916020000000005,0.3714492,4,torch.compile,0.36036705017089843,0.9754070211120182,1.969216954720264,1.4047253642547226,0.9754070211120182,0.9700980792435222,0.9763973177871544,2,-0.050388821670781,False,True,False
pearson_backward,Pearson backward,pairwise statistics,4096,32768,block_read,1.13206,1.131736,1.1323239999999999,1.5023472595214844,1.5019805603027343,1.5031752014160156,1.454122314453125,1.4538629150390627,1.45517578125,1024,8,0.744963,0.7448424,0.7456006000000001,8,cuda_nodsmem,1.13206,2.0166736596602575,1.9519389747586455,1.519619095176539,1.519619095176539,1.517885044620404,1.5202195793365145,4,-0.11345505511307072,False,True,False
pearson_backward,Pearson backward,pairwise statistics,4096,65536,block_read,2.2777,2.277054,2.287186,3.2332730102539062,3.2329411010742186,3.2338792114257813,2.9081912231445313,2.9079959716796875,2.9083833007812503,1024,8,1.56379,1.5594240000000001,1.565202,8,cuda_nodsmem,2.2777,2.067587726135802,1.8597070087061123,1.4565254925533477,1.4565254925533477,1.4547988055215877,1.4666864175490437,8,-0.2686929369118371,False,True,False
softmax_logits_backward,Softmax-logits backward,softmax,4096,4096,block_smem,0.0742608,0.07421138,0.07432757999999999,0.07190879821777343,0.07186566257476806,0.0719406089782715,0.11789152145385742,0.11786047935485841,0.11790777587890625,1024,8,0.0961962,0.09614692,0.09622812,2,torch.compile,0.07190879821777343,0.7475222328717084,1.2255320007844117,0.7719722816493791,0.7475222328717084,0.7468260065225015,0.7482362303261664,2,0.017596579079210375,True,False,False
softmax_logits_backward,Softmax-logits backward,softmax,4096,8192,block_smem,0.153392,0.1533262,0.1535164,0.14243295669555664,0.1423891830444336,0.1424632968902588,0.25743520736694336,0.2574143981933594,0.25745344543457027,1024,8,0.162386,0.1623192,0.1624044,2,torch.compile,0.14243295669555664,0.8771258402544347,1.5853288298679895,0.9446134518985627,0.8771258402544347,0.876756929273059,0.8776737249213821,2,0.059146025176755726,True,False,False
softmax_logits_backward,Softmax-logits backward,softmax,4096,16384,block_smem,0.522297,0.5216714,0.5224508,0.29317440032958986,0.2928112564086914,0.2932462043762207,0.5395347213745117,0.5394760208129883,0.5396326522827148,1024,8,0.320404,0.32021499999999997,0.3204870000000001,2,torch.compile,0.29317440032958986,0.9150147948514683,1.6839200552256268,1.6301200983758004,0.9150147948514683,0.913644723214019,0.9157790995931505,2,0.12682951737184636,True,True,True
softmax_logits_backward,Softmax-logits backward,softmax,4096,32768,block_read,1.25864,1.257768,1.258894,0.5794083023071289,0.5792580337524413,0.5797597961425781,1.0752963256835937,1.0752810668945314,1.0753384399414063,1024,8,0.670396,0.670348,0.670613,8,torch.compile,0.5794083023071289,0.8642776840958611,1.6039718698852525,1.8774575027297298,0.8642776840958611,0.8637739407861782,0.8648639156715289,4,0.23356550114747932,True,True,True
softmax_logits_backward,Softmax-logits backward,softmax,4096,65536,block_read,2.54297,2.542956,2.543088,2.051607360839844,2.0515046081542967,2.0520270385742188,2.1556060791015623,2.1555723571777343,2.155733825683594,1024,8,1.40609,1.405864,1.4072040000000001,8,torch.compile,2.051607360839844,1.4590868015844247,1.5330498610341885,1.8085399938837485,1.4590868015844247,1.4578587100052989,1.4596198768687574,8,0.4141951854833904,True,True,True
