device,workload,label,category,rows,cols,block_variant,cuda_nodsmem_ms,cuda_nodsmem_p20_ms,cuda_nodsmem_p80_ms,torch_compile_ms,torch_compile_p20_ms,torch_compile_p80_ms,triton_ms,triton_p20_ms,triton_p80_ms,triton_block_size,triton_num_warps,dsmem_ms,dsmem_p20_ms,dsmem_p80_ms,measured_cluster_size,best_baseline,best_baseline_ms,dsmem_vs_torch,dsmem_vs_triton,dsmem_vs_cuda_nodsmem,dsmem_vs_best,dsmem_vs_best_p20,dsmem_vs_best_p80,predicted_cluster_size,predicted_delta_ms,predicted_profitable,measured_profitable_vs_cuda,model_correct,model_version
RTX 5090,lars_momentum,LARS momentum,optimizer,4096,32768,block_read,2.79392,2.793828,2.794862,1.7337110900878907,1.7336104736328126,1.733933349609375,2.730371398925781,2.7300142822265627,2.7316600341796873,512,4,1.72852,1.72838,1.7285500000000003,4,torch.compile,1.7337110900878907,1.0030031993195858,1.5796006982423003,1.6163654455835048,1.0030031993195858,1.0029275830220776,1.0032130374161787,4,0.7985835890291666,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,lars_momentum,LARS momentum,optimizer,4096,65536,block_read,5.61764,5.617214,5.618314,3.5043130493164063,3.5040904541015623,3.504771301269531,5.452323608398437,5.4515004882812494,5.452765991210938,1024,8,3.45468,3.454588,3.4548400000000004,8,torch.compile,3.5043130493164063,1.014366902091194,1.5782427340299063,1.626095615223407,1.014366902091194,1.0142554949293054,1.0145265661982068,8,1.5947400614104092,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,rowwise_quant,Row-wise int8 quantization,quantization,4096,4096,block_smem,0.0164,0.01639848,0.016403940000000002,0.05003168106079101,0.049906880378723144,0.05025120067596435,0.02023008108139038,0.02014675235748291,0.020300799369812012,1024,8,0.0532733,0.05326764,0.05328136,2,cuda_nodsmem,0.0164,0.9391511519051947,0.3797414667645965,0.30784651973878097,0.30784651973878097,0.30777142325195905,0.30795319634960366,2,-0.013014775890852974,False,False,True,effective-bandwidth-overlap-v2
RTX 5090,rowwise_quant,Row-wise int8 quantization,quantization,4096,8192,block_smem,0.0875267,0.08751741999999998,0.08759576,0.08765151977539062,0.08764102172851562,0.08780960083007813,0.08240063667297363,0.0823249912261963,0.08241708946228028,1024,8,0.0880362,0.08801418,0.08806351999999999,2,triton,0.08240063667297363,0.9956304312929298,0.9359858407447578,0.9942126079953474,0.9359858407447578,0.9348364819643401,0.9364069455885436,2,0.010632629641319434,True,False,False,effective-bandwidth-overlap-v2
RTX 5090,rowwise_quant,Row-wise int8 quantization,quantization,4096,16384,block_smem,0.20328,0.2031588,0.20343440000000002,0.20299871444702147,0.20285612869262695,0.20398028182983396,0.27405471801757814,0.2739368324279785,0.2741466217041016,1024,8,0.202548,0.202386,0.2027266,4,torch.compile,0.20299871444702147,1.0022252228954196,1.3530359125618527,1.0036139581728774,1.0022252228954196,1.0006389328910312,1.0078774313926553,2,0.04612451848344202,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,rowwise_quant,Row-wise int8 quantization,quantization,4096,32768,block_read,0.775525,0.7714702,0.7758164,0.4105446243286133,0.4104737243652344,0.4107171096801758,0.7461190032958984,0.745744400024414,0.7461476135253906,512,4,0.404262,0.40395479999999995,0.40487059999999997,8,torch.compile,0.4105446243286133,1.015540971767352,1.845632296124539,1.9183722437429191,1.015540971767352,1.013839296716616,1.0167402632180031,2,0.25423978505657613,True,True,True,effective-bandwidth-overlap-v2
RTX 5090,rowwise_quant,Row-wise int8 quantization,quantization,4096,65536,block_read,1.59605,1.593188,1.596552,0.8411772918701171,0.8410225067138672,0.8414985961914063,1.5129942321777343,1.5123331604003907,1.5134591369628905,512,4,0.817186,0.817153,0.8172674,4,torch.compile,0.8411772918701171,1.0293584225257373,1.8514686156856999,1.9531049234813127,1.0293584225257373,1.029066504688511,1.0297931919621004,4,0.5242299555321617,True,True,True,effective-bandwidth-overlap-v2
H100,layernorm_backward,LayerNorm backward,normalization,2048,4096,block_smem,0.042136,0.0419774,0.04214956,0.0414412784576416,0.04129567909240723,0.04174086380004882,0.04087744235992432,0.040853567123413086,0.04089843082427978,1024,8,0.0474115,0.047281340000000005,0.04742596,2,triton,0.04087744235992432,0.8740765100796558,0.8621841190412519,0.8887295276462461,0.8621841190412519,0.8614178210290964,0.865001516968,2,-0.002025967747992786,False,False,True,effective-bandwidth-overlap-v2
H100,layernorm_backward,LayerNorm backward,normalization,2048,8192,block_smem,0.094137,0.09407657999999999,0.09423012,0.07218719959259033,0.07217612648010253,0.07220761775970458,0.11392959594726562,0.1138563175201416,0.11394323539733887,1024,8,0.082489,0.08232118,0.08249418,2,torch.compile,0.07218719959259033,0.8751130404367895,1.3811489525544691,1.1412067063487252,0.8751130404367895,0.8749238610542287,0.8771450768769906,2,0.01118653991854816,True,True,True,effective-bandwidth-overlap-v2
H100,layernorm_backward,LayerNorm backward,normalization,2048,16384,block_smem,0.219436,0.21925119999999998,0.2194512,0.14523679733276368,0.14520614051818848,0.14527116775512694,0.2696169662475586,0.26952306365966794,0.2696533851623535,1024,8,0.157468,0.15739460000000002,0.157561,4,torch.compile,0.14523679733276368,0.9223257889397445,1.7122016298394507,1.3935275738562756,0.9223257889397445,0.921586817284661,0.922974280916416,2,0.04264373025163005,True,True,True,effective-bandwidth-overlap-v2
