workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block
softmax_logits_backward,softmax,4096,16384,2,65536,0.504683,0.5045572,0.5047304,0.0532166,0.7217898669678209,0.12757057815190814,0.00011401093574281613,0.5408886778801699,True,0.5134970000000001,True
softmax_logits_backward,softmax,4096,16384,4,32768,0.508983,0.508811,0.5090165999999999,0.0573283,0.7217898669678209,0.12757057815190814,0.0006840656144568969,0.5362069232014559,True,0.5091970000000001,True
softmax_logits_backward,softmax,4096,16384,8,16384,0.501612,0.5015742000000001,0.501675,0.128302,0.7217898669678209,0.12757057815190814,0.0031923062007988517,0.46272498261511386,True,0.5165680000000001,True
softmax_logits_backward,softmax,4096,32768,4,65536,1.01046,1.0102,1.01067,0.114639,1.4435797339356418,0.2551411563038163,0.0006840656144568969,1.0731155120173688,True,1.3337900000000003,True
softmax_logits_backward,softmax,4096,32768,8,32768,1.0201,1.0197880000000001,1.020172,0.128317,1.4435797339356418,0.2551411563038163,0.0031923062007988517,1.0569292714310268,True,1.3241500000000002,True
softmax_logits_backward,softmax,4096,65536,8,65536,2.00806,2.00788,2.010482,0.25658,2.8871594678712835,0.5102823126076326,0.0031923062007988517,2.117104849062852,True,2.7521400000000003,True
lars_momentum,optimizer,4096,4096,2,24576,0.21492,0.2148798,0.2149554,0.0122963,0.13533560005646642,0.04783896680696555,7.600729049521076e-05,0.07512432595900566,True,0.0008189999999999864,True
lars_momentum,optimizer,4096,4096,4,12288,0.213877,0.21383339999999998,0.213888,0.0286442,0.13533560005646642,0.04783896680696555,0.00045604374297126453,0.058396389506529596,True,0.0018619999999999748,True
lars_momentum,optimizer,4096,4096,8,6144,0.282182,0.2820682,0.2822918,0.0623178,0.13533560005646642,0.04783896680696555,0.0021282041338659013,0.02305062911563496,True,-0.066443,False
lars_momentum,optimizer,4096,8192,2,49152,0.431468,0.4314182,0.43150219999999995,0.0122762,0.27067120011293283,0.0956779336139311,7.600729049521076e-05,0.16264105920850652,True,0.0003769999999999607,True
lars_momentum,optimizer,4096,8192,4,24576,0.430704,0.4306986,0.43077279999999996,0.028648,0.27067120011293283,0.0956779336139311,0.00045604374297126453,0.14588922275603047,True,0.0011410000000000031,True
lars_momentum,optimizer,4096,8192,8,12288,0.432462,0.4323958,0.43251459999999997,0.0623078,0.27067120011293283,0.0956779336139311,0.0021282041338659013,0.11055726236513584,True,-0.0006170000000000342,False
lars_momentum,optimizer,4096,16384,2,98304,0.86382,0.8637898,0.8639554,0.0266166,0.5413424002258657,0.1913558672278622,7.600729049521076e-05,0.32329392570750826,True,0.5208999999999999,True
lars_momentum,optimizer,4096,16384,4,49152,0.864228,0.8640776,0.8642488,0.0286438,0.5413424002258657,0.1913558672278622,0.00045604374297126453,0.3208866892550322,True,0.520492,True
lars_momentum,optimizer,4096,16384,8,24576,0.863223,0.863195,0.864247,0.0624314,0.5413424002258657,0.1913558672278622,0.0021282041338659013,0.28542692886413756,True,0.521497,True
lars_momentum,optimizer,4096,32768,4,98304,1.72852,1.72838,1.7285500000000003,0.0573245,1.0826848004517313,0.3827117344557244,0.00045604374297126453,0.6421925222530357,True,1.0654,True
lars_momentum,optimizer,4096,32768,8,49152,1.72917,1.7290619999999999,1.729596,0.0625549,1.0826848004517313,0.3827117344557244,0.0021282041338659013,0.6352899618621409,True,1.0647499999999999,True
lars_momentum,optimizer,4096,65536,8,98304,3.45468,3.454588,3.4548400000000004,0.127035,2.1653696009034626,0.7654234689114487,0.0021282041338659013,1.2707829278581482,True,2.1629599999999995,True
rowwise_quant,quantization,4096,4096,2,8192,0.0532733,0.05326764,0.05328136,0.0122925,0.009920129411173073,0.015946322268988518,3.800364524760538e-05,-0.018356696503063052,False,-0.0368733,False
