workload,cols,cluster_size,trial,overhead_ms
lars_momentum,16384,4,1,0.0286643
lars_momentum,16384,4,2,0.0286438
lars_momentum,16384,4,3,0.0286518
lars_momentum,16384,4,4,0.0286406
lars_momentum,32768,4,0,0.0573309
lars_momentum,32768,4,1,0.0573245
lars_momentum,32768,4,2,0.0573184
lars_momentum,32768,4,3,0.0573267
lars_momentum,32768,4,4,0.0573027
lars_momentum,4096,8,0,0.0622458
lars_momentum,4096,8,1,0.0624166
lars_momentum,4096,8,2,0.0623178
lars_momentum,4096,8,3,0.0623814
lars_momentum,4096,8,4,0.0622064
lars_momentum,8192,8,0,0.0624944
lars_momentum,8192,8,1,0.0622042
lars_momentum,8192,8,2,0.0622733
lars_momentum,8192,8,3,0.0623078
lars_momentum,8192,8,4,0.0624998
lars_momentum,16384,8,0,0.0624662
lars_momentum,16384,8,1,0.0623744
lars_momentum,16384,8,2,0.0622378
lars_momentum,16384,8,3,0.0626093
lars_momentum,16384,8,4,0.0624314
lars_momentum,32768,8,0,0.0623277
lars_momentum,32768,8,1,0.0625549
lars_momentum,32768,8,2,0.0625936
lars_momentum,32768,8,3,0.0624726
lars_momentum,32768,8,4,0.0625568
lars_momentum,65536,8,0,0.127036
lars_momentum,65536,8,1,0.127035
lars_momentum,65536,8,2,0.127048
lars_momentum,65536,8,3,0.127025
lars_momentum,65536,8,4,0.12703
rowwise_quant,4096,2,0,0.0122672
rowwise_quant,4096,2,1,0.0122925
rowwise_quant,4096,2,2,0.0122986
rowwise_quant,4096,2,3,0.0122861
rowwise_quant,4096,2,4,0.0123059
rowwise_quant,8192,2,0,0.0122778
rowwise_quant,8192,2,1,0.0122794
rowwise_quant,8192,2,2,0.0122838
rowwise_quant,8192,2,3,0.0122995
rowwise_quant,8192,2,4,0.0122858
rowwise_quant,16384,2,0,0.0123005
rowwise_quant,16384,2,1,0.0122915
rowwise_quant,16384,2,2,0.0122982
rowwise_quant,16384,2,3,0.0122643
rowwise_quant,16384,2,4,0.0122822
rowwise_quant,32768,2,0,0.0265971
rowwise_quant,32768,2,1,0.0266269
rowwise_quant,32768,2,2,0.0266147
rowwise_quant,32768,2,3,0.0266141
rowwise_quant,32768,2,4,0.0266163
rowwise_quant,4096,4,0,0.0286598
rowwise_quant,4096,4,1,0.0286397
rowwise_quant,4096,4,2,0.0286659
rowwise_quant,4096,4,3,0.02864
rowwise_quant,4096,4,4,0.0286717
rowwise_quant,8192,4,0,0.0286448
rowwise_quant,8192,4,1,0.0286413
rowwise_quant,8192,4,2,0.0286179
rowwise_quant,8192,4,3,0.0286125
rowwise_quant,8192,4,4,0.0286147
rowwise_quant,16384,4,0,0.0286269
rowwise_quant,16384,4,1,0.0286586
rowwise_quant,16384,4,2,0.0286362
rowwise_quant,16384,4,3,0.0286429
rowwise_quant,16384,4,4,0.028649
rowwise_quant,32768,4,0,0.0286432
rowwise_quant,32768,4,1,0.0284291
rowwise_quant,32768,4,2,0.0284886
rowwise_quant,32768,4,3,0.0284627
rowwise_quant,32768,4,4,0.0285629
rowwise_quant,65536,4,0,0.0573139
rowwise_quant,65536,4,1,0.057327
rowwise_quant,65536,4,2,0.057313
rowwise_quant,65536,4,3,0.0573277
rowwise_quant,65536,4,4,0.057335
rowwise_quant,4096,8,0,0.0624394
rowwise_quant,4096,8,1,0.0623318
rowwise_quant,4096,8,2,0.062608
rowwise_quant,4096,8,3,0.0625075
rowwise_quant,4096,8,4,0.0621408
rowwise_quant,8192,8,0,0.0623942
rowwise_quant,8192,8,1,0.0624486
rowwise_quant,8192,8,2,0.0624858
rowwise_quant,8192,8,3,0.0623405
rowwise_quant,8192,8,4,0.0622966
rowwise_quant,16384,8,0,0.0623568
rowwise_quant,16384,8,1,0.062481
rowwise_quant,16384,8,2,0.0624317
rowwise_quant,16384,8,3,0.0623267
rowwise_quant,16384,8,4,0.0624458
rowwise_quant,32768,8,0,0.0620554
rowwise_quant,32768,8,1,0.0620275
rowwise_quant,32768,8,2,0.0620035
rowwise_quant,32768,8,3,0.0618224
rowwise_quant,32768,8,4,0.0618883
rowwise_quant,65536,8,0,0.0617936
rowwise_quant,65536,8,1,0.061801
rowwise_quant,65536,8,2,0.061935
rowwise_quant,65536,8,3,0.061647
rowwise_quant,65536,8,4,0.0617594
